symbol,date,daily_avg,daily_min,daily_max,daily_count,neg_pct_7d,f9_norm
SOLUSDT,2021-07-04,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-07-05,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-07-06,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-07,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-08,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-09,7.524333333333333e-05,2.573e-05,0.0001,3,0.0,0.3699
SOLUSDT,2021-07-10,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-11,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-12,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-13,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-14,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-15,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-16,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-17,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-18,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-19,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-20,-7.579999999999996e-06,-0.00011297,9.854e-05,3,0.0952380952380952,0.4221
SOLUSDT,2021-07-21,-6.433333333333345e-07,-0.00011333,8.264e-05,3,0.1428571428571428,0.4288
SOLUSDT,2021-07-22,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-23,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-24,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-25,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-26,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-27,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-07-28,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-29,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-30,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-07-31,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-01,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-02,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-03,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-04,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-05,0.0001006466666666,0.0001,0.00010194,3,0.0,0.3597
SOLUSDT,2021-08-06,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-07,0.0002983566666666,0.00013994,0.00057549,3,0.0,0.2807
SOLUSDT,2021-08-08,0.0002623833333333,0.00022565,0.00031014,3,0.0,0.295
SOLUSDT,2021-08-09,0.0001074433333333,0.0001,0.00012233,3,0.0,0.357
SOLUSDT,2021-08-10,0.0001868666666666,0.00013435,0.000245,3,0.0,0.3253
SOLUSDT,2021-08-11,0.0002971899999999,0.00015242,0.00041409,3,0.0,0.2811
SOLUSDT,2021-08-12,0.0001892066666666,0.0001,0.00028542,3,0.0,0.3243
SOLUSDT,2021-08-13,0.0001100266666666,0.0001,0.00013008,3,0.0,0.356
SOLUSDT,2021-08-14,0.0001706299999999,0.00010458,0.00029733,3,0.0,0.3317
SOLUSDT,2021-08-15,0.0002988033333333,0.00021955,0.00040055,3,0.0,0.2805
SOLUSDT,2021-08-16,0.0005902933333333,0.00020261,0.0008687,3,0.0,0.1639
SOLUSDT,2021-08-17,0.0006424233333333,0.00048943,0.00084422,3,0.0,0.143
SOLUSDT,2021-08-18,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-08-19,0.0002445366666666,0.0001,0.00043629,3,0.0,0.3022
SOLUSDT,2021-08-20,0.0004180566666666,0.00012284,0.00060041,3,0.0,0.2328
SOLUSDT,2021-08-21,0.0004496133333333,0.00023414,0.00058059,3,0.0,0.2202
SOLUSDT,2021-08-22,0.0001905733333333,0.0001,0.00023923,3,0.0,0.3238
SOLUSDT,2021-08-23,0.0003036933333333,0.0001,0.00041888,3,0.0,0.2785
SOLUSDT,2021-08-24,0.0004510933333333,0.00025647,0.00071925,3,0.0,0.2196
