symbol,date,regime,close,rsi14
BTCUSDT,2015-12-10,bull,415.48,72.54
BTCUSDT,2015-12-11,bull,451.94,79.41
BTCUSDT,2015-12-12,bull,435.0,70.58
BTCUSDT,2015-12-13,bull,433.76,69.96
BTCUSDT,2015-12-14,bull,444.18,72.15
BTCUSDT,2015-12-15,bull,465.32,75.98
BTCUSDT,2015-12-16,bull,454.93,70.83
BTCUSDT,2015-12-17,bull,456.08,71.06
BTCUSDT,2015-12-18,bull,463.62,72.61
BTCUSDT,2015-12-19,bull,462.32,71.9
BTCUSDT,2015-12-20,bull,442.68,61.97
BTCUSDT,2015-12-21,bull,438.64,60.13
BTCUSDT,2015-12-22,bull,436.57,59.16
BTCUSDT,2015-12-23,bull,442.4,61.06
BTCUSDT,2015-12-24,bull,454.98,64.87
BTCUSDT,2015-12-25,bull,455.65,65.07
BTCUSDT,2015-12-26,bull,417.27,48.42
BTCUSDT,2015-12-27,bull,422.82,50.39
BTCUSDT,2015-12-28,bull,422.28,50.19
BTCUSDT,2015-12-29,bull,432.98,54.11
BTCUSDT,2015-12-30,bull,426.62,51.52
BTCUSDT,2015-12-31,bull,430.57,53.02
BTCUSDT,2016-01-01,bull,434.33,54.47
BTCUSDT,2016-01-02,bull,433.44,54.04
BTCUSDT,2016-01-03,bull,430.01,52.35
BTCUSDT,2016-01-04,bull,433.09,53.75
BTCUSDT,2016-01-05,bull,431.96,53.13
BTCUSDT,2016-01-06,bull,429.11,51.52
BTCUSDT,2016-01-07,bull,458.05,63.58
BTCUSDT,2016-01-08,bull,453.23,60.87
BTCUSDT,2016-01-09,bull,447.61,57.77
BTCUSDT,2016-01-10,sideways,447.99,57.93
BTCUSDT,2016-01-11,sideways,448.43,58.12
BTCUSDT,2016-01-12,sideways,435.69,50.85
BTCUSDT,2016-01-13,sideways,432.37,49.13
BTCUSDT,2016-01-14,sideways,430.31,48.04
BTCUSDT,2016-01-15,sideways,364.33,27.23
BTCUSDT,2016-01-16,sideways,387.54,37.49
BTCUSDT,2016-01-17,sideways,382.3,36.24
BTCUSDT,2016-01-18,sideways,387.17,38.29
BTCUSDT,2016-01-19,sideways,380.15,36.47
BTCUSDT,2016-01-20,sideways,420.23,50.83
BTCUSDT,2016-01-21,sideways,410.26,47.93
BTCUSDT,2016-01-22,sideways,382.49,40.92
BTCUSDT,2016-01-23,sideways,387.49,42.55
BTCUSDT,2016-01-24,sideways,402.97,47.38
BTCUSDT,2016-01-25,sideways,391.73,44.46
BTCUSDT,2016-01-26,sideways,392.15,44.6
BTCUSDT,2016-01-27,sideways,394.97,45.57
BTCUSDT,2016-01-28,sideways,380.29,41.48
BTCUSDT,2016-01-29,sideways,379.47,41.26
BTCUSDT,2016-01-30,sideways,378.26,40.9
BTCUSDT,2016-01-31,sideways,368.77,38.17
BTCUSDT,2016-02-01,sideways,373.06,40.12
BTCUSDT,2016-02-02,sideways,374.45,40.77
BTCUSDT,2016-02-03,sideways,369.95,39.28
BTCUSDT,2016-02-04,sideways,389.59,48.17
BTCUSDT,2016-02-05,sideways,386.55,47.03
BTCUSDT,2016-02-06,sideways,376.52,43.36
BTCUSDT,2016-02-07,sideways,376.62,43.4
BTCUSDT,2016-02-08,sideways,373.45,42.2
BTCUSDT,2016-02-09,sideways,376.03,43.57
BTCUSDT,2016-02-10,sideways,381.65,46.55
BTCUSDT,2016-02-11,sideways,379.65,45.63
BTCUSDT,2016-02-12,sideways,384.26,48.18
BTCUSDT,2016-02-13,sideways,391.86,52.17
BTCUSDT,2016-02-14,bull,407.23,59.03
BTCUSDT,2016-02-15,sideways,400.18,55.13
BTCUSDT,2016-02-16,bull,407.49,58.21
BTCUSDT,2016-02-17,bull,416.32,61.65
BTCUSDT,2016-02-18,bull,422.37,63.84
BTCUSDT,2016-02-19,sideways,420.79,62.83
BTCUSDT,2016-02-20,bull,437.16,68.41
BTCUSDT,2016-02-21,bull,438.8,68.91
BTCUSDT,2016-02-22,bull,437.75,68.16
BTCUSDT,2016-02-23,sideways,420.74,57.3
BTCUSDT,2016-02-24,bull,424.95,59.04
BTCUSDT,2016-02-25,bull,424.54,58.79
BTCUSDT,2016-02-26,bull,432.15,62.02
BTCUSDT,2016-02-27,bull,432.52,62.17
BTCUSDT,2016-02-28,bull,433.5,62.61
BTCUSDT,2016-02-29,bull,437.7,64.5
BTCUSDT,2016-03-01,bull,435.12,62.42
BTCUSDT,2016-03-02,bull,423.99,54.26
BTCUSDT,2016-03-03,bull,421.65,52.7
BTCUSDT,2016-03-04,bull,410.94,46.17
BTCUSDT,2016-03-05,sideways,400.57,40.88
BTCUSDT,2016-03-06,bull,407.71,45.51
BTCUSDT,2016-03-07,bull,414.32,49.45
BTCUSDT,2016-03-08,bull,413.97,49.25
BTCUSDT,2016-03-09,bull,414.86,49.81
BTCUSDT,2016-03-10,bull,417.13,51.3
BTCUSDT,2016-03-11,bull,421.69,54.24
BTCUSDT,2016-03-12,bull,411.62,47.44
BTCUSDT,2016-03-13,bull,414.07,49.1
BTCUSDT,2016-03-14,bull,416.44,50.74
BTCUSDT,2016-03-15,sideways,416.83,51.02
BTCUSDT,2016-03-16,sideways,417.01,51.16
BTCUSDT,2016-03-17,sideways,420.62,53.95
BTCUSDT,2016-03-18,sideways,409.55,45.39
BTCUSDT,2016-03-19,sideways,410.44,46.13
BTCUSDT,2016-03-20,sideways,413.76,48.91
BTCUSDT,2016-03-21,sideways,413.31,48.54
BTCUSDT,2016-03-22,sideways,418.09,52.6
BTCUSDT,2016-03-23,sideways,418.04,52.55
BTCUSDT,2016-03-24,sideways,416.39,50.95
BTCUSDT,2016-03-25,sideways,417.18,51.7
BTCUSDT,2016-03-26,sideways,417.95,52.48
BTCUSDT,2016-03-27,sideways,426.77,60.32
BTCUSDT,2016-03-28,sideways,424.23,57.39
BTCUSDT,2016-03-29,sideways,416.52,49.5
BTCUSDT,2016-03-30,sideways,414.82,47.94
BTCUSDT,2016-03-31,sideways,416.73,49.86
BTCUSDT,2016-04-01,sideways,417.96,51.11
BTCUSDT,2016-04-02,sideways,420.87,54.03
BTCUSDT,2016-04-03,sideways,420.9,54.06
BTCUSDT,2016-04-04,bull,421.44,54.64
